,edges,edge_labels,query_edge,query_label
75,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
76,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
77,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
78,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
79,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
80,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
81,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
82,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
83,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
84,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
85,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
86,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
87,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
88,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
89,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
90,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
91,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
92,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
93,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
94,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
95,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
96,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
97,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
98,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
99,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
100,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
101,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
102,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
103,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
104,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
105,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
106,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
107,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
108,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
109,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
110,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
111,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
112,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
113,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
114,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
115,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
116,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
117,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
118,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
119,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
120,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
121,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
122,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
123,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
124,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
125,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
126,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
127,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
128,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
129,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
130,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
131,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
132,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
133,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
134,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
135,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
136,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
137,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
138,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
139,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
140,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
141,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
142,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
143,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
144,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
145,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
146,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
147,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
148,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
149,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
150,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
151,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
152,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
153,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
154,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
155,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
156,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
157,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
158,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
159,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
160,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
161,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
162,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
163,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
164,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
165,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
166,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
167,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
168,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
169,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
170,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
171,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
172,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
173,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
174,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
175,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
176,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
177,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
178,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
179,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
180,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
181,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
182,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
183,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
184,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
185,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
186,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
187,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
188,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
189,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
190,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
191,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
192,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
193,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
194,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
195,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
196,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
197,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
198,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
199,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
200,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
201,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
202,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
203,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
204,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
205,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
206,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
207,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
208,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
209,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
210,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
211,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
212,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
213,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
214,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
215,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
216,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
217,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
218,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
219,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
220,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
221,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
222,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
223,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
224,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
225,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
226,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
227,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
228,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
229,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
230,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
231,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
232,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
233,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
234,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
235,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
236,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
237,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
238,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
239,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
240,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
241,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
242,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
243,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
244,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
245,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
246,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
247,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
248,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
249,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
250,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
251,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
252,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
253,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
254,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
255,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
256,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
257,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
258,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
259,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
260,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
261,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
262,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
263,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
264,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
265,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
266,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
267,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
268,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
269,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
270,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
271,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
272,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
273,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
274,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
275,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
276,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
277,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
278,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
279,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
280,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
281,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
282,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
283,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
284,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
285,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
286,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
287,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
288,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
289,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
290,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
291,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
292,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
293,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
294,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
295,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
296,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
297,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
298,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
299,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
300,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
301,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
302,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
303,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
304,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
305,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
306,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
307,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
308,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
309,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
310,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
311,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
312,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
313,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
314,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
315,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
316,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
317,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
318,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
319,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
320,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
321,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
322,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
323,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
324,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
325,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
326,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
327,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
328,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
329,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
330,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
331,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
332,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
333,"[(0, 1), (1, 2)]","['TPP', 'DC']","(0, 2)",DC
334,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
335,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
336,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
337,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
338,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
339,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
340,"[(0, 1), (1, 2)]","['NTPP', 'DC']","(0, 2)",DC
341,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
342,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
343,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
344,"[(0, 1), (1, 2)]","['EQ', 'DC']","(0, 2)",DC
345,"[(0, 1), (1, 2)]","['DC', 'TPPI']","(0, 2)",DC
346,"[(0, 1), (1, 2)]","['DC', 'NTPPI']","(0, 2)",DC
347,"[(0, 1), (1, 2)]","['EC', 'NTPPI']","(0, 2)",DC
348,"[(0, 1), (1, 2)]","['NTPP', 'EC']","(0, 2)",DC
349,"[(0, 1), (1, 2)]","['DC', 'EQ']","(0, 2)",DC
